"","SYMBOL","ENSEMBL","ENTREZID"
"1","CD36","ENSG00000135218","948"
"2","DUSP6","ENSG00000139318","1848"
"3","DCT","ENSG00000080166","1638"
"4","SPRY2","ENSG00000136158","10253"
"5","MOXD1","ENSG00000079931","26002"
"6","ETV4","ENSG00000175832","2118"
"7","ETV5","ENSG00000244405","2119"
"8","ST6GALNAC2","ENSG00000070731","10610"
"9","DTL","ENSG00000143476","51514"
"10","NUPR1","ENSG00000176046","26471"
"11","LDLR","ENSG00000130164","3949"
"12","SPRY4","ENSG00000187678","81848"
"13","FST","ENSG00000134363","10468"
"14","TXNIP","ENSG00000265972","10628"
"15","CCND1","ENSG00000110092","595"
"16","IER3","ENSG00000137331","8870"
"17","IER3","ENSG00000237155","8870"
"18","IER3","ENSG00000206478","8870"
"19","IER3","ENSG00000230128","8870"
"20","IER3","ENSG00000227231","8870"
"21","IER3","ENSG00000235030","8870"
"22","SERPINF1","ENSG00000132386","5176"
"23","SERPINF1","ENSG00000282307","5176"
"24","FAM111B","ENSG00000189057","374393"
"25","CD24","ENSG00000272398","100133941"
"26","RNF150","ENSG00000170153","57484"
"27","SCRG1","ENSG00000164106","11341"
"28","SESN3","ENSG00000149212","143686"
"29","MR1","ENSG00000153029","3140"
"30","TGFA","ENSG00000163235","7039"
"31","NT5E","ENSG00000135318","4907"
"32","CEMIP","ENSG00000103888","57214"
"33","TRPM3","ENSG00000083067","80036"
"34","SLCO4A1","ENSG00000101187","28231"
"35","ITGB3","ENSG00000259207","3690"
"36","UBASH3B","ENSG00000154127","84959"
"37","CCNE2","ENSG00000175305","9134"
"38","MCM10","ENSG00000065328","55388"
"39","IGFBP5","ENSG00000115461","3488"
"40","LSAMP","ENSG00000185565","4045"
"41","NOV","ENSG00000136999","4856"
"42","SLC20A1","ENSG00000144136","6574"
"43","LCTL","ENSG00000188501","197021"
"44","CDC25A","ENSG00000164045","993"
"45","TLR4","ENSG00000136869","7099"
"46","CLSPN","ENSG00000092853","63967"
"47","RRM2","ENSG00000171848","6241"
"48","ANK3","ENSG00000151150","288"
"49","AZGP1","ENSG00000160862","563"
"50","JUN","ENSG00000177606","3725"
"51","PCDH10","ENSG00000138650","57575"
"52","SNAI2","ENSG00000019549","6591"
"53","ARHGEF37","ENSG00000183111","389337"
"54","AOAH","ENSG00000136250","313"
"55","TCP11L2","ENSG00000166046","255394"
"56","SFRP1","ENSG00000104332","6422"
"57","SEMA3C","ENSG00000075223","10512"
"58","CDCA5","ENSG00000146670","113130"
"59","AMIGO2","ENSG00000139211","347902"
"60","KIAA0040","ENSG00000235750","9674"
"61","MIR221","ENSG00000207870","407006"
"62","TRAK1","ENSG00000182606","22906"
"63","FAM84B","ENSG00000168672","157638"
"64","LRP1B","ENSG00000168702","53353"
"65","SH3TC2","ENSG00000169247","79628"
"66","RASGRP1","ENSG00000172575","10125"
"67","AHNAK2","ENSG00000185567","113146"
"68","HIST1H2BB","ENSG00000276410","3018"
"69","SOX2","ENSG00000181449","6657"
"70","SCUBE3","ENSG00000146197","222663"
"71","PRUNE2","ENSG00000106772","158471"
"72","SCG5","ENSG00000166922","6447"
"73","SCG5","ENSG00000277614","6447"
"74","SCG5","ENSG00000281931","6447"
"75","AREG","ENSG00000109321","374"
"76","TCN1","ENSG00000134827","6947"
"77","BMF","ENSG00000104081","90427"
"78","CDC45","ENSG00000093009","8318"
"79","HIST1H1B","ENSG00000184357","3009"
"80","ADHFE1","ENSG00000147576","137872"
"81","SH2D1B","ENSG00000198574","117157"
"82","TUBA1A","ENSG00000167552","7846"
"83","FOLR1","ENSG00000110195","2348"
"84","CNTN1","ENSG00000018236","1272"
"85","LEMD1","ENSG00000186007","93273"
"86","SLC38A3","ENSG00000188338","10991"
"87","IFITM10","ENSG00000244242","402778"
"88","IFITM10","ENSG00000281618","402778"
"89","TMEM198B","ENSG00000182796","440104"
"90","IFI44L","ENSG00000137959","10964"
"91","FAXDC2","ENSG00000170271","10826"
"92","MEF2C","ENSG00000081189","4208"
"93","RARB","ENSG00000077092","5915"
"94","ADAMTS15","ENSG00000166106","170689"
"95","FAM198B","ENSG00000164125","51313"
"96","LINC00518","ENSG00000183674","221718"
"97","TENM3","ENSG00000218336","55714"
"98","MRGPRX4","ENSG00000179817","117196"
"99","EXO1","ENSG00000174371","9156"
"100","SLC16A4","ENSG00000168679","9122"
"101","PBX1","ENSG00000185630","5087"
"102","TIMP3","ENSG00000100234","7078"
"103","ZNF608","ENSG00000168916","57507"
"104","ATAD2","ENSG00000156802","29028"
"105","SH2B3","ENSG00000111252","10019"
"106","SEMA6A","ENSG00000092421","57556"
"107","E2F7","ENSG00000165891","144455"
"108","INPP5F","ENSG00000198825","22876"
"109","NPAS2","ENSG00000170485","4862"
"110","TFAP2C","ENSG00000087510","7022"
"111","ORC1","ENSG00000085840","4998"
"113","PDE5A","ENSG00000138735","8654"
"114","MAF","ENSG00000178573","4094"
"115","ANKFN1","ENSG00000153930","162282"
"117","EPHA5","ENSG00000145242","2044"
"118","ZEB2","ENSG00000169554","9839"
"119","ATL1","ENSG00000198513","51062"
