"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD36",-5.78017,7.37028166666667,-79.7255641356702,1.20960971636769e-16,2.27817893980691e-12,26.758983685655
"DUSP6",4.21268333333333,9.106625,62.4380991406308,1.80453520695796e-15,1.32353551735425e-11,25.0100014153023
"DCT",-5.63302666666667,8.76322,-61.5654654681533,2.10821203783728e-15,1.32353551735425e-11,24.8990366164203
"SPRY2",3.80166333333333,9.72646833333333,53.9547949267273,9.0561186322848e-15,4.2640734580113e-11,23.8084913953875
"MOXD1",-3.26306333333333,10.171635,-47.081535961817,4.07411057631499e-14,1.30567805919863e-10,22.594316635827
"ETV4",3.84324666666667,9.66707666666667,46.9930391231937,4.15953507231167e-14,1.30567805919863e-10,22.5769798886826
"ETV5",4.07852,8.86754,45.067774273474,6.59748366495186e-14,1.77510010493862e-10,22.1877437826422
"ST6GALNAC2",-3.87512,9.47800666666667,-44.0352059412961,8.51808600438761e-14,2.00537039758295e-10,21.9690576527286
"DTL",3.19328,10.5105933333333,43.2738346436299,1.03234216476176e-13,2.16034803679144e-10,21.8031253814239
"NUPR1",-3.03099666666667,9.59686833333333,-41.3796611321334,1.69038172748435e-13,3.18366494554402e-10,21.3721028649065
"LDLR",3.05364333333334,10.650445,40.3048641548176,2.25868296159475e-13,3.86727589987959e-10,21.1153120195846
"SPRY4",3.75289,8.564955,37.8574048905936,4.50096492242901e-13,7.06426444575233e-10,20.4946549789928
"FST",3.58683,10.0773183333333,37.3076179850888,5.28684407139767e-13,7.65941701851568e-10,20.3479078923426
"TXNIP",-2.94854333333334,11.3127616666667,-36.9813909536511,5.82303042974288e-13,7.8336396509841e-10,20.2594916841435
"CCND1",2.48815666666667,10.616455,36.4923061309296,6.74113492366972e-13,8.18334242212467e-10,20.1250224296076
"IER3",2.64061,10.8155283333333,36.3902392023973,6.95197402325553e-13,8.18334242212467e-10,20.0966659209248
"SERPINF1",-3.10683,9.21985166666667,-36.1698403825229,7.43218024897822e-13,8.23398134172093e-10,20.0350828139651
"FAM111B",3.70844,8.50741333333333,34.360240782645,1.30642633274534e-12,1.26023314775457e-09,19.5106051488851
"CD24",-3.32253333333333,6.98094666666667,-34.3502707292659,1.31059779604091e-12,1.26023314775457e-09,19.5076190717074
"RNF150",-2.43434666666667,9.49022666666667,-34.2850344897058,1.33825331608216e-12,1.26023314775457e-09,19.4880535511821
"SCRG1",-2.58137666666667,7.49189833333333,-34.129527953856,1.40677561783104e-12,1.26167676124904e-09,19.4412248994311
"SESN3",-2.80125333333333,8.40787666666667,-33.9353565730603,1.49775279904215e-12,1.28221255532544e-09,19.3823753262366
"MR1",-2.53182666666667,8.73486,-33.4848272445154,1.73452581174169e-12,1.42035039731926e-09,19.2441899450421
"TGFA",2.51893,9.914235,33.041431142517,2.0078894142733e-12,1.54578510637886e-09,19.1059112547412
"NT5E",2.86284666666667,8.17669333333333,32.9762997753555,2.05185450034361e-12,1.54578510637886e-09,19.0854051967835
"CEMIP",3.33756,7.89746333333333,32.7180550097028,2.23678674132808e-12,1.62029390331435e-09,19.0036028251211
"TRPM3",-2.92491333333334,8.86901,-32.4922638642681,2.4134111373283e-12,1.65355566851718e-09,18.93142446081
"SLCO4A1",2.57027,9.70583166666667,32.427128499857,2.4671456373755e-12,1.65355566851718e-09,18.9104877853802
"ITGB3",3.162,10.2595333333333,32.3341822870028,2.54609293761273e-12,1.65355566851718e-09,18.8805220094399
"UBASH3B",2.25201,9.67506166666667,32.1690456676601,2.69323229019795e-12,1.67784226273054e-09,18.8270201296055
"CCNE2",2.60314333333333,9.777895,32.0392249976151,2.81541021507772e-12,1.67784226273054e-09,18.7847229841176
"MCM10",2.82644,9.09864666666667,32.0028205330778,2.85074611911317e-12,1.67784226273054e-09,18.7728242582626
"IGFBP5",-2.74943666666666,9.521815,-31.8606405996326,2.99345302494007e-12,1.70844528096125e-09,18.7261938648085
"LSAMP",-2.64957333333333,9.15964666666667,-31.5993297786263,3.27645581366431e-12,1.81496378807511e-09,18.6398258524212
"NOV",-2.65835,10.1936583333333,-30.9895534343774,4.0569840983281e-12,2.18312110022604e-09,18.4348589236219
"SLC20A1",2.43890666666667,10.8567133333333,30.8633144922871,4.24266031805961e-12,2.21961845639819e-09,18.3918148227326
"LCTL",-2.20834,9.88816333333333,-30.6307647316942,4.60940336464328e-12,2.34631089107275e-09,18.3119625153745
"CDC25A",2.54431,8.64988833333333,30.4686631657785,4.88542103265657e-12,2.42136894023826e-09,18.255867406392
"TLR4",2.52759666666666,10.0262683333333,30.3482888759606,5.10202860280476e-12,2.46388735141602e-09,18.2139794039031
"CLSPN",2.96678,8.14402333333333,30.1460967103766,5.48978016222645e-12,2.58486298938432e-09,18.1431698371986
"RRM2",2.44366,10.3011033333333,29.9357072738847,5.92760139574071e-12,2.60187835051119e-09,18.0688834859609
"ANK3",-2.39553,9.87996833333333,-29.9355521056074,5.92793800982616e-12,2.60187835051119e-09,18.0688284676331
"AZGP1",-2.07956333333333,9.21515166666667,-29.9298319654491,5.94036153084746e-12,2.60187835051119e-09,18.0668000284015
"JUN",-2.24402,9.64339,-29.7771858180736,6.28259587007931e-12,2.6892366049335e-09,18.0124981442405
"PCDH10",-2.06502333333333,10.3973216666667,-29.4835514168528,7.00290711833335e-12,2.81027227255772e-09,17.907103248785
"SNAI2",-2.65778333333333,10.1099416666667,-29.4527713441905,7.08347301001147e-12,2.81027227255772e-09,17.8959830845896
"ARHGEF37",-2.13572,8.51249,-29.3921617199404,7.24508400796694e-12,2.81027227255772e-09,17.8740457898906
"AOAH",-1.98075666666667,6.85392166666667,-29.3579470841834,7.33808490907721e-12,2.81027227255772e-09,17.8616382986384
"TCP11L2",-2.63763,9.124585,-29.339171148184,7.38967286904591e-12,2.81027227255772e-09,17.8548221633117
"SFRP1",2.10376666666666,9.86295,29.2370902009663,7.67714781865615e-12,2.81027227255772e-09,17.8176735710301
"SEMA3C",-2.34096666666667,11.5575833333333,-29.1984142481415,7.78922784491973e-12,2.81027227255772e-09,17.8035587527292
"CDCA5",2.16880666666667,8.81451,29.1406867693195,7.95984670672015e-12,2.81027227255772e-09,17.7824498691496
"AMIGO2",2.71758,8.96217666666667,29.1219371737425,8.01613526305556e-12,2.81027227255772e-09,17.7755831694392
"KIAA0040",1.93776666666666,8.42691,29.1082542685439,8.05748660497594e-12,2.81027227255772e-09,17.7705687541412
"MIR221",2.50408333333333,8.556775,28.6371648400451,9.63307881145245e-12,3.29871647881628e-09,17.5962113536782
"TRAK1",-1.945,10.3174666666667,-28.4542713895952,1.03327207630413e-11,3.47511540805571e-09,17.5276082744985
"FAM84B",2.96484333333333,9.04787833333333,28.3460387651768,1.07726897011757e-11,3.55952347073585e-09,17.4867663631446
"LRP1B",-2.72054666666667,7.6432,-28.2976297578045,1.09760420840737e-11,3.56418580364557e-09,17.4684399288503
"SH3TC2",2.26067,8.56070833333333,27.9195434554168,1.27159100415832e-11,4.05917711395216e-09,17.3240336162007
"RASGRP1",-2.14128333333333,7.38064166666667,-27.7891838911559,1.33836811246986e-11,4.14237466663126e-09,17.2737147677266
"AHNAK2",-2.27282333333333,9.07352166666667,-27.6995746188992,1.38648186346555e-11,4.14237466663126e-09,17.2389660860988
"HIST1H2BB",2.13094666666667,9.54189333333333,27.6754017339293,1.39978131916724e-11,4.14237466663126e-09,17.2295699555128
"SOX2",-2.12812000000001,10.7249066666667,-27.6304994370091,1.42485593263898e-11,4.14237466663126e-09,17.2120908771055
"SCUBE3",-2.54890666666667,9.02864666666667,-27.6303155287048,1.42495963228265e-11,4.14237466663126e-09,17.2120192195035
"PRUNE2",-3.83907,8.13838833333333,-27.5838642029953,1.45141707504979e-11,4.14237466663126e-09,17.1939022912567
"SCG5",-2.28570333333333,7.582185,-27.5835242610179,1.4516126579466e-11,4.14237466663126e-09,17.1937695768064
"AREG",2.38697666666667,7.52090166666667,27.4328992638118,1.54116477796987e-11,4.31898946845543e-09,17.1347778483591
"TCN1",-3.35767,9.21769833333333,-27.4034491269752,1.55936754728135e-11,4.31898946845543e-09,17.1231999677439
"BMF",-2.58473666666667,8.677175,-27.2985486027244,1.62613236943687e-11,4.43863435448898e-09,17.0818426495247
"CDC45",2.53834,9.07539666666667,26.9998948160542,1.83386734295957e-11,4.92641703327479e-09,16.9630852297306
"HIST1H1B",2.17700333333334,9.905265,26.9340735625635,1.88343485195568e-11,4.92641703327479e-09,16.9367082801988
"ADHFE1",-2.50864,7.50329,-26.9236475162745,1.89141930485665e-11,4.92641703327479e-09,16.9325233833113
"SH2D1B",2.00620333333333,7.67665166666667,26.9002604202125,1.90946396638558e-11,4.92641703327479e-09,16.9231292841523
"TUBA1A",-1.82954333333333,10.769395,-26.5900224900169,2.16743103022327e-11,5.51640486800339e-09,16.7976184994928
"FOLR1",-2.35078666666667,8.35724333333333,-26.5382807687344,2.21403526622236e-11,5.55988536053758e-09,16.7765223778752
"CNTN1",-2.15064333333333,7.364765,-26.4133420990213,2.33113010844427e-11,5.77690848189992e-09,16.7253877726842
"LEMD1",-2.26669,7.50466833333333,-26.2686953975411,2.47518601616358e-11,5.98396210745961e-09,16.6658407385147
"SLC38A3",-2.41571666666666,8.83771166666667,-26.2534967455465,2.4908765035393e-11,5.98396210745961e-09,16.6595621545192
"IFITM10",-2.22495666666667,9.411555,-26.2351150428088,2.50999791063666e-11,5.98396210745961e-09,16.6519631065755
"TMEM198B",-1.83550333333333,9.797715,-26.1957851093784,2.55144961333484e-11,5.99714777147499e-09,16.6356835901161
"IFI44L",-2.33428,7.43879666666667,-26.1698299728214,2.57921296320205e-11,5.99714777147499e-09,16.6249249268763
"FAXDC2",-2.07527,9.831665,-26.0670815860709,2.69239259243406e-11,6.17135406334674e-09,16.5822150882358
"MEF2C",-2.09176333333334,10.8464183333333,-26.0430223905596,2.71966861663895e-11,6.17135406334674e-09,16.5721866132942
"RARB",-2.20855333333333,7.53882666666667,-26.006536950903,2.7616081625556e-11,6.19192001590145e-09,16.5569584428028
"ADAMTS15",-2.39675333333333,8.71940666666667,-25.9257377969771,2.85701436504421e-11,6.33047159426384e-09,16.5231481400639
"FAM198B",-2.87326666666667,9.0666,-25.7092553434532,3.1307865227799e-11,6.85642248488798e-09,16.431968478136
