Date,Time,TT,Species.,X.,Comments.Observations
2003-03-02,1645,snake trap,Nerodia fasciata,1,
2003-03-05,1400,snake trap,Thamnophis sauritus,1,
2003-03-05,1730,snake trap,Agkistrodon piscivorus,1,
2003-03-06,1045,snake trap,Agkistrodon piscivorus,1,
2003-03-06,1045,snake trap,Agkistrodon piscivorus,1,
2003-03-10,1030,snake trap,Nerodia fasciata,1,
2003-03-10,1715,snake trap,Agkistrodon piscivorus,1,
2003-03-12,730,snake trap,Nerodia fasciata,1,
2003-03-13,1645,snake trap,Agkistrodon piscivorus,1,
2003-03-13,1645,snake trap,Agkistrodon piscivorus,1,
2003-03-14,950,snake trap,Crotalus horridus,1,
2003-03-14,950,snake trap,Agkistrodon piscivorus,2,
2003-03-19,1100,snake trap,Agkistrodon piscivorus,1,
2003-03-19,1100,snake trap,Agkistrodon piscivorus,2,
2003-03-20,1130,snake trap,Agkistrodon piscivorus,1,
2003-03-20,1800,snake trap,Agkistrodon piscivorus,1,
2003-03-21,1620,bucket,Agkistrodon piscivorus,1,
2003-03-21,1620,snake trap,Agkistrodon piscivorus,1,
2003-03-23,1210,snake trap,Farancia erytrogramma,1,YEAH!
2003-03-25,1045,bucket,Agkistrodon piscivorus,1,
2003-03-25,1545,snake trap,Agkistrodon piscivorus,1,
2003-03-25,1045,snake trap,Nerodia erythrogaster,1,
2003-03-25,1045,snake trap,Coluber constrictor,1,
2003-03-26,1045,snake trap,Coluber constrictor,1,
2003-03-26,1610,snake trap,Coluber constrictor,1,
2003-03-27,1730,snake trap,Agkistrodon piscivorus,1,
2003-03-27,1730,snake trap,Coluber constrictor,1,
2003-03-28,1015,snake trap,Coluber constrictor,1,
2003-03-28,1625,snake trap,Coluber constrictor,1,
2003-03-29,800,bucket,Farancia erytrogramma,1,
2003-03-29,800,snake trap,Farancia erytrogramma,1,
2003-03-29,1730,snake trap,Agkistrodon piscivorus,1,
2003-03-29,1730,snake trap,Coluber constrictor,1,
2003-03-29,1730,snake trap,Coluber constrictor,1,
2003-03-29,1730,snake trap,Coluber constrictor,2,BIT MY FACE
2003-03-30,1030,snake trap,Agkistrodon piscivorus,1,
2003-04-01,1230,snake trap,Nerodia fasciata,1,
2003-04-03,1730,snake trap,Nerodia fasciata,1,
2003-04-03,1730,snake trap,Heterodon platirhinos,1,"MELANISTIC, PRETTY"
2003-04-05,1700,bucket,Agkistrodon piscivorus,1,HEAD IN BUCKET
2003-04-06,1800,snake trap,Heterodon platirhinos,1,
2003-04-06,1800,snake trap,Agkistrodon piscivorus,1,
2003-04-13,1900,snake trap,Agkistrodon piscivorus,1,
2003-04-14,1634,coffee can,Coluber constrictor,1,COMING OUT OF C
2003-04-15,915,bucket,Nerodia floridana,1,
2003-04-15,915,snake trap,Farancia abacura,1,
2003-04-15,1730,snake trap,Coluber constrictor,1,
2003-04-15,1730,snake trap,Coluber constrictor,1,
